Cultivar_ID,Cultivar_Name,Cultivar_Alias,Female_ID,Female_Name,Male_ID,Male_Name,Subcollection,State(trait),Country(trait),Year(trait),Pedigree-Original,MG(trait),Stem_Termination,Flower_Color,Pubescence_Color,Pubescence_Form,Pubescence_Density,Pod_Color,Seedcoat_Luster,Seedcoat_Color,Hilum_Color,Other:Seed,Other:Leaf,Other:Plant
Z000001,Woodruff,,PI615694,N7001,PI602597,Boggs,Modern,Georgia,United States,2012,N7001 x Boggs,7,D,W,T,,,Tn,D,Y,Bl,,,
PI615694,N7001,,Z000002,N77-114,PI416937,PI 416937,Modern,North Carolina,United States,2001,N77-114 x PI 416937,7,D,P,G,E,N,Br,D,Y,Ib,,,
PI602597,Boggs,,Z000003,G81-152,Z000004,Coker 6738,Modern,Georgia,United States,1998,G81-152 x Coker 6738,6,D,W,T,E,N,Tn,S,Y,Bl,,,
Z000002,N77-114,,PI548667,Essex,Z000006,N70-2173,,North Carolina,United States,,Essex x N70-2173,,,,,,,,,,,,,
PI416937,PI 416937,,,,,,,,Japan,1977,,6,D,P,G,E,N,Br,I,Y,,Vhil,,
Z000003,G81-152,,Z000005,D74-7741,PI556536,Coker 237,Modern,Georgia,United States,,D74-7741 x Coker 237,6,D,,,,,,,,,,,
Z000004,Coker 6738,,PI548659,Braxton,PI556696,Coker 368,Modern,South Carolina,United States,,Braxton x Coker 368,8,D,,,,,,,,,,,
PI556696,Coker 368,,Z000007,Coker 71-211,PI548975,Centennial,Modern,South Carolina,United States,1983,Coker 71-211 x Centennial,8,D,W,G,,,Tn,S,Y,Bf,,,
PI548659,Braxton,,Z000008,F59-1505,UN000000,Unknown,Modern,Florida,United States,1979,F59-1505 x (Bragg(3) x D60-7965),7,D,P,T,E,N,Tn,I,Y,Bl,,,
PI556536,Coker 237,,PI548662,Hutton,Z000008,N63-858,Modern,South Carolina,United States,1978,Hutton x N63-858,7,D,W,T,E,N,Tn,S,Y,Bl,,,
Z000005,D74-7741,,PI548655,Forrest,Z000009,D70-3001,Modern,Mississippi,United States,,Forrest x D70-3001,6,,,,,,,,,,,,
PI548667,Essex,,PI548656,Lee,Z000010,S5-7075,Modern,Virginia,United States,1972,Lee x S5-7075,5,D,P,G,E,N,Tn,D,Y,Ib,,,
Z000006,N70-2173,,PI614156,Hampton,PI548989,Ransom,Modern,North Carolina,United States,,Hampton x Ransom,,,,,,,,,,,,,
Z000007,Coker 71-211,,,,,,Modern,Mississippi,United States,,Hampton 266 x Bragg,,,,,,,,,,,,,
PI548975,Centennial,,,,,,Modern,Mississippi,United States,1991,D64-4636 x Pickett 71,6,D,P,T,Sa,N,Tn,I,Y,Bl,,,
PI548662,Hutton,,,,,,Modern,Florida,United States,1974,F55-822 x (Roanoke x CNS-4),8,D,P,T,E,N,Tn,I,Y,Bl,,,
Z000008,N63-858,,,,,,Modern,North Carolina,United States,,D58-3358 x D59-9289,,,,,,,,,,,,,
PI548655,Forrest,,,,,,Modern,Mississippi,United States,1972,Dyer x Bragg,5,D,W,T,Sa,N,Tn,I,Lgn,Bl,,,
Z000008,F59-1505,,,,,,Modern,Florida,United States,,Jackson x D49-2491,,,,,,,,,,,,,
Z000009,D70-3001,,,,,,Modern,Mississippi,United States,,D64-4636 x Pickett 71,6,,,,,,,,,,,,
PI548656,Lee,,,,,,Modern,Mississippi,United States,1954,S-100 x CNS,6,D,P,T,E,N,Tn,S,Y,Bl,,,
Z000010,S5-7075,,,,,,Modern,Missouri,United States,,N48-1248 x Perry,,,,,,,,,,,,,
PI614156,Hampton,,,,,,Private,South Carolina,United States,1962,F4 selection from Majos x Lee,8,S,P,G,A,N,Br,D,Y,Bf,,,
PI548989,Ransom,,,,,,Modern,North Carolina,United States,1970,N55-5931 x N55-3818,7,D,P,T,E,N,Tn,S,Y,Bl,,,
